I0,I1,I2,I3
0.800000,0.805025,-0.000757,129396.070313
0.800000,0.799487,-0.003271,129396.406250
0.800000,0.812986,0.007336,129396.742188
0.800000,0.801910,0.002308,129397.078125
0.800000,0.802732,0.005480,129397.414063
0.800000,0.799574,0.004606,129397.750000
0.800000,0.818711,0.003031,129398.085938
0.800000,0.796876,-0.002030,129398.421875
0.800000,0.809971,-0.004296,129398.757813
0.800000,0.809093,0.011166,129399.093750
0.800000,0.784473,-0.008408,129399.429688
0.800000,0.801405,0.004131,129399.765625
0.800000,0.804838,0.006063,129400.101563
0.800000,0.815135,0.011857,129400.437500
0.800000,0.795045,-0.001556,129400.773438
0.800000,0.824150,0.020241,129401.109375
0.800000,0.781819,-0.011105,129401.445313
0.800000,0.812943,0.003398,129401.781250
0.800000,0.796646,0.000851,129402.117188
0.800000,0.813809,0.010508,129402.453125
0.800000,0.810376,0.008577,129402.789063
0.800000,0.808227,0.004056,129403.125000
0.800000,0.801910,0.002308,129403.460938
0.800000,0.795967,-0.013080,129403.796875
0.800000,0.818020,0.011674,129404.132813
0.800000,0.824150,0.020241,129404.468750
0.800000,0.801866,-0.001631,129404.804688
0.800000,0.780766,-0.011396,129405.140625
0.800000,0.791612,-0.003487,129405.476563
0.800000,0.812799,0.014155,129405.812500
0.800000,0.785987,-0.013878,129406.148438
0.800000,0.829183,0.024579,129406.484375
0.800000,0.809915,0.014339,129406.820313
0.800000,0.783837,-0.018399,129407.156250
0.800000,0.807722,0.005879,129407.492188
0.800000,0.788179,-0.005419,129407.828125
0.800000,0.829501,0.029575,129408.164063
0.800000,0.799761,-0.002214,129408.500000
0.800000,0.789506,-0.004070,129408.835938
0.800000,0.809005,0.003290,129409.171875
0.800000,0.809093,0.011166,129409.507813
0.800000,0.801723,0.009127,129409.843750
0.800000,0.793948,-0.005785,129410.179688
0.800000,0.784977,-0.010231,129410.515625
0.800000,0.800078,0.002782,129410.851563
0.800000,0.789463,-0.008008,129411.187500
0.800000,0.804246,0.000009,129411.523438
0.800000,0.796876,-0.002030,129411.859375
0.800000,0.815958,0.015030,129412.195313
0.800000,0.797568,-0.010673,129412.531250
0.800000,0.791569,-0.007425,129412.867188
0.800000,0.787588,-0.011472,129413.203125
0.800000,0.789145,-0.013004,129413.539063
0.800000,0.795923,-0.017018,129413.875000
0.800000,0.798938,-0.005386,129414.210938
0.800000,0.791381,-0.000606,129414.546875
0.800000,0.796328,-0.004145,129414.882813
0.800000,0.797063,-0.008850,129415.218750
0.800000,0.793631,-0.010781,129415.554688
0.800000,0.771982,-0.022662,129415.890625
0.800000,0.789780,-0.003012,129416.226563
0.800000,0.814674,0.017619,129416.562500
0.800000,0.788454,-0.004361,129416.898438
0.800000,0.805934,0.010292,129417.234375
0.800000,0.815409,0.012915,129417.570313
0.800000,0.806900,0.002707,129417.906250
0.800000,0.798795,0.005372,129418.242188
0.800000,0.809828,0.006462,129418.578125
0.800000,0.788366,-0.012238,129418.914063
0.800000,0.786853,-0.006767,129419.250000
0.800000,0.815322,0.005038,129419.585938
0.800000,0.788310,0.006397,129419.921875
0.800000,0.812438,0.005221,129420.257813
0.800000,0.802140,-0.000573,129420.593750
0.800000,0.804520,0.001067,129420.929688
0.800000,0.806626,0.001649,129421.265625
0.800000,0.793257,0.002858,129421.601563
0.800000,0.802184,0.003365,129421.937500
0.800000,0.784429,-0.012346,129422.273438
0.800000,0.790703,-0.014536,129422.609375
0.800000,0.806208,0.011350,129422.945313
0.800000,0.799025,0.002491,129423.281250
0.800000,0.825707,0.018709,129423.617188
0.800000,0.799343,0.007487,129423.953125
0.800000,0.811659,0.005987,129424.289063
0.800000,0.798116,-0.008558,129424.625000
0.800000,0.798938,-0.005386,129424.960938
0.800000,0.820256,0.024072,129425.296875
0.800000,0.807722,0.005879,129425.632813
0.800000,0.816736,0.014263,129425.968750
0.800000,0.802545,0.012299,129426.304688
0.800000,0.799717,-0.006152,129426.640625
0.800000,0.801087,-0.000865,129426.976563
0.800000,0.808544,0.009052,129427.312500
0.800000,0.805068,0.003182,129427.648438
0.800000,0.786622,-0.003886,129427.984375
0.800000,0.806208,0.011350,129428.320313
0.800000,0.798160,-0.004620,129428.656250
0.800000,0.800539,-0.002980,129428.992188
0.800000,0.799387,0.011425,129429.328125
0.800000,0.812669,0.002340,129429.664063
0.800000,0.793992,-0.001847,129430.000000
0.800000,0.793170,-0.005019,129430.335938
0.800000,0.811155,0.007811,129430.671875
0.800000,0.793213,-0.001081,129431.007813
0.800000,0.803511,0.004714,129431.343750
0.800000,0.802919,-0.001340,129431.679688
0.800000,0.809005,0.003290,129432.015625
0.800000,0.806713,0.009526,129432.351563
0.800000,0.785021,-0.006293,129432.687500
0.800000,0.804707,-0.005753,129433.023438
0.800000,0.815684,0.013972,129433.359375
0.800000,0.819577,0.010142,129433.695313
0.800000,0.779713,-0.011688,129434.031250
0.800000,0.809467,-0.002472,129434.367188
0.800000,0.797150,-0.000973,129434.703125
0.800000,0.800396,0.007778,129435.039063
0.800000,0.818063,0.015612,129435.375000
0.800000,0.783694,-0.007641,129435.710938
0.800000,0.793126,-0.008958,129436.046875
0.800000,0.793631,-0.010781,129436.382813
0.800000,0.815366,0.008976,129436.718750
0.800000,0.777521,-0.020147,129437.054688
0.800000,0.791886,-0.002430,129437.390625
0.800000,0.797337,-0.007792,129437.726563
0.800000,0.796833,-0.005969,129438.062500
0.800000,0.813721,0.002631,129438.398438
0.800000,0.803280,0.007595,129438.734375
0.800000,0.788049,-0.017234,129439.070313
0.800000,0.806208,0.011350,129439.406250
0.800000,0.802601,-0.006335,129439.742188
0.800000,0.799717,-0.006152,129440.078125
0.800000,0.792939,-0.002138,129440.414063
0.800000,0.806713,0.009526,129440.750000
0.800000,0.795045,-0.001556,129441.085938
0.800000,0.803424,-0.003163,129441.421875
0.800000,0.791294,-0.008483,129441.757813
0.800000,0.806626,0.001649,129442.093750
0.800000,0.802963,0.002599,129442.429688
0.800000,0.811429,0.008868,129442.765625
0.800000,0.783607,-0.015518,129443.101563
0.800000,0.803872,0.013648,129443.437500
0.800000,0.801866,-0.001631,129443.773438
0.800000,0.794496,-0.003670,129444.109375
0.800000,0.799991,-0.005095,129444.445313
0.800000,0.799069,0.006429,129444.781250
0.800000,0.824654,0.018418,129445.117188
0.800000,0.770842,-0.030830,129445.453125
0.800000,0.764251,-0.033636,129445.789063
